pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00271936990167501	0.0781586140548189	0.431707695803346	0.422450440744206	1.21754110318569	184	CS, PDHB, NDUFS7, NDUFB7, COX7B, NDUFA9, MRPS11, COX11, NDUFB1, NDUFS2, NDUFB8, MRPL34, DLAT, IDH1, MRPS30, SLC25A6, TOMM22, POR, OPA1, COX15, NDUFA3, SLC25A12, DLD, UQCRB, SDHD, SUPV3L1, OAT, NDUFC1, NDUFB2, ETFA, MTRF1, COX4I1, MDH1, NDUFB6, ECI1, SUCLA2, MRPL15, HCCS, UQCRQ, NDUFA8, SURF1, TIMM9, ETFDH, NDUFS6, MRPL11, COX17, PDHA1, NDUFS8, NDUFA4, NDUFS3, COX6A1, COX7A2L, CYB5A, TIMM17A, ACAT1, TCIRG1, NDUFC2, COX5A, PRDX3, TIMM13, IDH3G, NDUFA1, MDH2, CYC1, COX5B, AIFM1, UQCRFS1, ECH1, NDUFB4, DLST, BAX, COX7C, SDHA, HSPA9, ATP6V0C, ALAS1, ABCB7, ALDH6A1, ATP6V1D, NDUFS1, PMPCA, SLC25A4, TIMM10, COX7A2, NDUFV2, NDUFA2, UQCRH, MGST3, UQCR11, COX6C, POLR2F, NQO2
HALLMARK_UV_RESPONSE_DN	0.00312634456219275	0.0781586140548189	0.431707695803346	0.430467753491147	1.22678884204636	138	ABCC1, GCNT1, ADD3, SIPA1L1, NFKB1, SERPINE1, SRI, TGFBR3, MIOS, PTGFR, MAGI2, INPP4B, MGMT, SMAD7, PTPN21, PRKCE, SNAI2, PLCB4, COL11A1, SFMBT1, BCKDHB, RXRA, NFIB, SLC22A18, MMP16, NEK7, CITED2, CAP2, SYNE1, ID1, CDC42BPA, MTA1, AKT3, INSIG1, FZD2, FBLN5, KIT, ACVR2A, IGF1R, SLC7A1, PDGFRB, SYNJ2, DDAH1, PRDM2, WDR37, GRK5, COL1A1, NRP1, CDK13, YTHDC1, IRS1, PIAS3, LTBP1, DUSP1, CELF2, LPAR1, PTPRM, RND3, ADGRL2, FYN, CAV1, HAS2, ERBB2, RBPMS, MGLL
HALLMARK_PEROXISOME	0.0160711027559931	0.267851712599885	0.352487857583619	0.431719642750657	1.21098192863967	104	CRABP2, SLC25A19, FADS1, PEX11A, CADM1, IDH1, GNPAT, HSD17B4, ABCD3, IDE, ALDH9A1, LONP2, ALDH1A1, SERPINA6, ACOX1, SULT2B1, SLC23A2, MVP, CAT, ABCB9, MLYCD, ERCC3, ALB, YWHAH, ACSL4, TSPO, ECI2, ITGB1BP1, SEMA3C, DLG4, TOP2A, FIS1, NUDT19, ABCD1, ECH1, NR1I2, HSD11B2, DHCR24, STS, CTPS1, SLC25A4, IDI1, EHHADH, SCGB1A1, SOD2, SIAH1
HALLMARK_GLYCOLYSIS	0.034965034965035	0.437062937062937	0.241339976815091	0.39559992057229	1.1422609788939	197	ARPP19, GAL3ST1, P4HA2, HDLBP, B3GAT1, VCAN, IDH1, PMM2, SOX9, EGFR, LCT, FUT8, GOT1, ALDH9A1, DLD, GALK2, MPI, SLC37A4, PPP2CB, ARTN, XYLT2, PGLS, B4GALT2, MDH1, TPST1, GPC1, ALDH7A1, CHPF2, BPNT1, LHPP, ME2, PGAM2, EGLN3, KIF20A, CITED2, ANGPTL4, HSPA5, GLCE, PFKP, PLOD2, CYB5A, CXCR4, SLC16A3, SAP30, SLC35A3, ELF3, HMMR, SDC3, ANG, MDH2, TKTL1, CLDN3, EFNA3, PPFIA4, NSDHL, NOL3, GPC4, HS6ST2, FBP2, COPB2, TGFBI, ALDOB, GMPPB, SRD5A3, AGRN, ISG20
HALLMARK_FATTY_ACID_METABOLISM	0.044955044955045	0.44955044955045	0.211400189384923	0.400885451764365	1.14746129185235	155	PDHB, PPARA, IDH1, HSP90AA1, HSD17B4, FABP1, PSME1, PRDX6, ALDH9A1, DLD, IL4I1, G0S2, ADSL, SDHD, ACOT2, PTS, ALDH1A1, CBR1, MDH1, ACOX1, ECI1, SUCLA2, NBN, HCCS, GABARAPL1, REEP6, GPD1, BCKDHB, METAP1, ACAT2, ETFDH, PDHA1, PCBD1, UGDH, LGALS1, MLYCD, CA2, GAD2, MCEE, CPOX, YWHAH, ACSL4, ODC1, ECI2, HSDL2, IDH3G, CRYZ, ERP29, MDH2, TDO2, NSDHL, UROS, SERINC1, ECH1, APEX1, ACSM3, DLST, DHCR24, SDHA, BMPR1B
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0799200799200799	0.585129156557728	0.155241966228839	0.449016983846795	1.20171098499368	47	ABCC1, MPO, NDUFS2, CDKN2D, PRDX6, STK25, HMOX2, CAT, NQO1, FTL, PFKP, HHEX, MBP, PRNP, NDUFB4, IPCEF1, SRXN1, GSR, SOD2, MGST1, OXSR1, PDLIM1, JUNB, SBNO2, TXNRD2, PRDX1, MSRA, GLRX2, NDUFA6, GPX3
HALLMARK_APICAL_SURFACE	0.0819180819180819	0.585129156557728	0.153158808683073	0.456963148617566	1.21750853453646	43	LYN, ADAM10, FLOT2, CROCC, APP, NTNG1, LYPD3, ATP8B1, PCSK9, GHRL, PLAUR, SHROOM2, TMEM8B, RHCG, CD160, MDGA1, SLC2A4, THY1, EPHB4
HALLMARK_BILE_ACID_METABOLISM	0.105894105894106	0.599400599400599	0.132846300606183	0.399052770292131	1.12553688089877	112	FADS1, PEX11A, AGXT, IDH1, SLC27A5, GNPAT, HSD17B4, ABCD3, ALDH9A1, LONP2, ALDH1A1, SERPINA6, SULT2B1, PNPLA8, DIO2, SLC23A2, ABCA2, ABCA6, CAT, PEX12, RXRA, NUDT12, SLC22A18, MLYCD, CYP7A1, NR1H4, SULT1B1, AQP9, KLF1, RBP1, AKR1D1, ABCD1, PEX19, NR1I2, DHCR24, EFHC1, TFCP2L1, CYP7B1, PEX11G, CYP46A1, CYP39A1, PEX1, PXMP2, IDI1
HALLMARK_IL2_STAT5_SIGNALING	0.107892107892108	0.599400599400599	0.131457611642763	0.381329614708877	1.10053474863619	194	MXD1, GPR83, NDRG1, WLS, TGM2, CST7, SWAP70, BATF, SCN9A, ETV4, SMPDL3A, AHNAK, NFKBIZ, SPRED2, PUS1, AGER, AHCY, IKZF4, PENK, CTSZ, IL18R1, GABARAPL1, LRRC8C, ICOS, SH3BGRL2, DENND5A, LTB, MUC1, SELL, IGF2R, CA2, SPRY4, XBP1, ST3GAL4, IL10RA, PTCH1, ITGAV, IFNGR1, TIAM1, ODC1, GATA1, TWSG1, RHOB, PHTF2, TNFRSF8, HUWE1, PRNP, PLSCR1, IRF4, IGF1R, ADAM19, BCL2L1, CD83, CTLA4, CCNE1, GSTO1, GPR65, RABGAP1L, SELP, NRP1, CAPN3, SERPINB6, BATF3, FAH, PHLDA1, LCLAT1, CASP3, LRIG1, IRF8, DCPS, TNFRSF18, RGS16, IL10, EMP1, NT5E
HALLMARK_ADIPOGENESIS	0.147852147852148	0.699300699300699	0.109684061970549	0.375414530121529	1.08324253535071	192	CS, ANGPT1, NDUFB7, COX7B, GPHN, NKIRAS1, COQ5, STOM, DLAT, IDH1, SULT1A1, LAMA4, POR, COQ9, DLD, REEP5, CD151, PIM3, CDKN2C, YWHAG, VEGFB, RETN, ACOX1, PTCD3, ADIPOQ, MRPL15, UQCRQ, REEP6, SSPN, QDPR, CAT, PDCD4, ADIG, ANGPTL4, RREB1, NDUFS3, SOWAHC, FABP4, COX6A1, NMT1, PFKFB3, IFNGR1, PRDX3, G3BP2, SLC19A1, IDH3G, PTGER3, ALDH2, MDH2, TOB1, CYC1, SLC27A1, AIFM1, GPAM, RTN3, PFKL, ECH1, UCK1, ACLY, FAH, CMBL, PGM1, ESYT1, ITSN1, OMD, COL4A1, PPP1R15B, MGLL, ITGA7, MGST3, UQCR11, CIDEA, SCARB1, LIFR, MTCH2
