Gene	sgRNA	Vehicle|beta	Vehicle|z	Vehicle|p-value	Vehicle|fdr	Vehicle|wald-p-value	Vehicle|wald-fdr	APR|beta	APR|z	APR|p-value	APR|fdr	APR|wald-p-value	APR|wald-fdr
DUSP14	4	-0.046593	-0.40618	0.81056	0.99079	0.68461	0.96053	0.071544	0.62381	0.78187	0.9887	0.53275	0.84452
HIST1H2BL	4	-0.38778	-1.3701	0.09825	0.64533	0.17065	0.95209	-0.066854	-0.23705	0.73523	0.98462	0.81262	0.94193
CTAGE6	4	0.070307	0.38996	0.70744	0.98061	0.69656	0.96074	-0.10773	-0.59718	0.608	0.97167	0.55039	0.85088
TBC1D10C	4	-0.0040096	-0.053744	0.98086	0.99824	0.95714	0.99509	-0.045206	-0.60519	0.80842	0.99177	0.54505	0.84882
PIP5K1B	4	0.19052	1.3738	0.2941	0.87983	0.1695	0.95209	0.17941	1.2934	0.43541	0.93838	0.19587	0.75718
controlguide578	1	0.41515	0.39154	0.22817	0.83798	0.6954	0.96074	0.66285	0.62516	0.11182	0.67497	0.53187	0.84402
GALNT12	4	0.11172	0.58234	0.54196	0.9575	0.56034	0.953	0.21283	1.1095	0.34596	0.90939	0.26723	0.76828
MAP7	4	0.24618	1.0497	0.17363	0.78962	0.29388	0.95209	0.34205	1.4586	0.12197	0.68885	0.14468	0.75718
APBB3	4	-0.043763	-0.33884	0.82244	0.99079	0.73473	0.96644	-0.10632	-0.82249	0.61088	0.97209	0.4108	0.81037
EXD2	4	0.1516	0.78279	0.40528	0.92816	0.43375	0.95209	0.22553	1.1647	0.31678	0.89732	0.24414	0.76466
CDC42BPG	4	0.018789	0.070161	0.9198	0.99405	0.94407	0.99308	0.40529	1.5259	0.064489	0.52896	0.12703	0.75718
PCTP	4	0.027628	0.24779	0.88141	0.99168	0.8043	0.97475	0.13576	1.2177	0.56364	0.96272	0.22332	0.76255
TAC3	4	-0.17369	-1.2796	0.39757	0.9255	0.20067	0.95209	0.11207	0.82945	0.64031	0.97708	0.40685	0.80876
BLVRA	4	0.091093	0.44722	0.62127	0.96918	0.65472	0.95776	0.31935	1.5687	0.14827	0.73176	0.11671	0.75718
GPATCH2	4	-0.050526	-0.39054	0.79604	0.99079	0.69614	0.96074	-0.142	-1.0965	0.51139	0.95868	0.27284	0.76845
RBPJ	4	-0.068851	-0.32045	0.72847	0.98237	0.74863	0.96707	-0.12428	-0.5774	0.55937	0.96267	0.56367	0.85628
PATE2	4	0.16457	0.86005	0.36645	0.91796	0.38976	0.95209	0.19227	1.0047	0.40095	0.9299	0.31505	0.7809
C15orf32	4	-0.11104	-0.6966	0.57786	0.96482	0.48605	0.95281	-0.15714	-0.98523	0.47405	0.94736	0.32451	0.78316
CHID1	4	0.23988	1.6454	0.18462	0.79802	0.099896	0.95209	0.15776	1.0808	0.49881	0.95461	0.2798	0.76981
SNX30	4	-0.20764	-1.4428	0.32006	0.89461	0.14908	0.95209	-0.15469	-1.0748	0.47932	0.94736	0.28245	0.76981
PPAP2B	4	0.1173	0.75201	0.52133	0.95364	0.45205	0.95209	0.13725	0.87988	0.55832	0.96267	0.37892	0.79992
SPCS2	4	-0.30601	-0.99584	0.17079	0.78712	0.31933	0.95209	-0.61426	-1.9919	0.028938	0.3538	0.046386	0.75718
NFU1	4	-0.93304	-2.26	0.0016905	0.046703	0.023823	0.8275	-0.52585	-1.2854	0.051611	0.481	0.19864	0.75718
AGTR2	4	0.25853	1.0829	0.15265	0.76425	0.27885	0.95209	0.37456	1.569	0.089499	0.61397	0.11665	0.75718
WDR13	4	0.083646	0.58172	0.6518	0.97342	0.56075	0.953	0.12551	0.87285	0.59591	0.97033	0.38274	0.80192
CHRFAM7A	4	0.029884	0.1776	0.87261	0.99121	0.85903	0.98247	0.036363	0.21606	0.90737	0.9983	0.82894	0.94747
FBXL22	4	-0.083058	-0.31781	0.67308	0.97452	0.75063	0.96713	0.28677	1.1017	0.1962	0.79585	0.27058	0.76828
ROCK1	4	0.30521	1.066	0.087808	0.61498	0.28643	0.95209	0.45295	1.5829	0.040175	0.42083	0.11345	0.75718
SECISBP2L	4	0.21079	0.88468	0.24388	0.84979	0.37633	0.95209	0.34055	1.4301	0.12341	0.69173	0.1527	0.75718
CT55	4	-0.080596	-0.67591	0.68263	0.97598	0.4991	0.95281	-0.070763	-0.5934	0.723	0.98372	0.55291	0.85241
