Gene	sgRNA	eff
DUSP14	ID_30030	1
DUSP14	ID_30029	1
DUSP14	ID_30028	1
DUSP14	ID_30027	1
HIST1H2BL	ID_21657	1
HIST1H2BL	ID_21660	1
HIST1H2BL	ID_21658	1
HIST1H2BL	ID_21659	1
CTAGE6	ID_69143	1
CTAGE6	ID_69142	1
CTAGE6	ID_69144	1
CTAGE6	ID_69141	1
TBC1D10C	ID_70279	1
TBC1D10C	ID_70277	1
TBC1D10C	ID_70278	1
TBC1D10C	ID_70280	1
PIP5K1B	ID_21824	1
PIP5K1B	ID_21822	1
PIP5K1B	ID_21823	1
PIP5K1B	ID_21821	1
controlguide578	ID_77019	1
GALNT12	ID_49661	1
GALNT12	ID_49662	1
GALNT12	ID_49659	1
GALNT12	ID_49660	1
MAP7	ID_23709	1
MAP7	ID_23710	1
MAP7	ID_23712	1
MAP7	ID_23711	1
APBB3	ID_27699	1
APBB3	ID_27697	1
APBB3	ID_27698	1
APBB3	ID_27700	1
EXD2	ID_41971	1
EXD2	ID_41974	1
EXD2	ID_41972	1
EXD2	ID_41973	1
CDC42BPG	ID_42668	1
CDC42BPG	ID_42669	1
CDC42BPG	ID_42667	1
CDC42BPG	ID_42670	1
PCTP	ID_46559	1
PCTP	ID_46561	1
PCTP	ID_46562	1
PCTP	ID_46560	1
TAC3	ID_18607	1
TAC3	ID_18606	1
TAC3	ID_18605	1
TAC3	ID_18608	1
BLVRA	ID_1754	1
BLVRA	ID_1755	1
BLVRA	ID_1753	1
BLVRA	ID_1756	1
GPATCH2	ID_41577	1
GPATCH2	ID_41575	1
GPATCH2	ID_41578	1
GPATCH2	ID_41576	1
RBPJ	ID_9351	1
RBPJ	ID_9349	1
RBPJ	ID_9352	1
RBPJ	ID_9350	1
PATE2	ID_72164	1
PATE2	ID_72162	1
PATE2	ID_72161	1
PATE2	ID_72163	1
C15orf32	ID_61489	1
C15orf32	ID_61491	1
C15orf32	ID_61492	1
C15orf32	ID_61490	1
CHID1	ID_48605	1
CHID1	ID_48603	1
CHID1	ID_48604	1
CHID1	ID_48606	1
SNX30	ID_72474	1
SNX30	ID_72473	1
SNX30	ID_72476	1
SNX30	ID_72475	1
PPAP2B	ID_22441	1
PPAP2B	ID_22442	1
PPAP2B	ID_22444	1
PPAP2B	ID_22443	1
SPCS2	ID_25984	1
SPCS2	ID_25982	1
SPCS2	ID_25983	1
SPCS2	ID_25981	1
NFU1	ID_35872	1
NFU1	ID_35874	1
NFU1	ID_35871	1
NFU1	ID_35873	1
AGTR2	ID_524	1
AGTR2	ID_523	1
AGTR2	ID_521	1
AGTR2	ID_522	1
WDR13	ID_47919	1
WDR13	ID_47920	1
WDR13	ID_47921	1
WDR13	ID_47922	1
CHRFAM7A	ID_55143	1
CHRFAM7A	ID_55146	1
CHRFAM7A	ID_55144	1
CHRFAM7A	ID_55145	1
FBXL22	ID_67498	1
FBXL22	ID_67499	1
FBXL22	ID_67500	1
FBXL22	ID_67497	1
ROCK1	ID_16239	1
ROCK1	ID_16237	1
ROCK1	ID_16238	1
ROCK1	ID_16240	1
SECISBP2L	ID_25764	1
SECISBP2L	ID_25761	1
SECISBP2L	ID_25762	1
SECISBP2L	ID_25763	1
CT55	ID_41164	1
CT55	ID_41166	1
CT55	ID_41163	1
CT55	ID_41165	1
ARMC8	ID_33908	1
ARMC8	ID_33909	1
ARMC8	ID_33907	1
ARMC8	ID_33910	1
KRTAP19-7	ID_68665	1
KRTAP19-7	ID_68666	1
KRTAP19-7	ID_68667	1
KRTAP19-7	ID_68668	1
C10orf90	ID_58054	1
C10orf90	ID_58055	1
C10orf90	ID_58053	1
C10orf90	ID_58056	1
SPATA6L	ID_41455	1
SPATA6L	ID_41456	1
SPATA6L	ID_41458	1
SPATA6L	ID_41457	1
C7orf73	ID_74174	1
C7orf73	ID_74177	1
C7orf73	ID_74176	1
C7orf73	ID_74175	1
WNT3A	ID_55105	1
WNT3A	ID_55103	1
WNT3A	ID_55104	1
WNT3A	ID_55106	1
FAM122C	ID_63271	1
FAM122C	ID_63272	1
FAM122C	ID_63269	1
FAM122C	ID_63270	1
ZNF846	ID_63598	1
ZNF846	ID_63599	1
ZNF846	ID_63600	1
ZNF846	ID_63597	1
MARK4	ID_46386	1
MARK4	ID_46384	1
MARK4	ID_46385	1
MARK4	ID_46383	1
DTHD1	ID_72357	1
DTHD1	ID_72358	1
DTHD1	ID_72360	1
DTHD1	ID_72359	1
TMEM131	ID_32971	1
TMEM131	ID_32974	1
TMEM131	ID_32973	1
TMEM131	ID_32972	1
TECPR2	ID_26340	1
TECPR2	ID_26338	1
TECPR2	ID_26337	1
TECPR2	ID_26339	1
controlguide673	ID_77114	1
DAOA	ID_67104	1
DAOA	ID_67103	1
DAOA	ID_67102	1
DAOA	ID_67101	1
GCM2	ID_24299	1
GCM2	ID_24300	1
GCM2	ID_24298	1
GCM2	ID_24297	1
FAM170A	ID_69086	1
FAM170A	ID_69085	1
FAM170A	ID_69087	1
FAM170A	ID_69088	1
C2orf76	ID_59797	1
C2orf76	ID_59800	1
C2orf76	ID_59799	1
C2orf76	ID_59798	1
ARRDC2	ID_35582	1
ARRDC2	ID_35579	1
ARRDC2	ID_35580	1
ARRDC2	ID_35581	1
EIF2AK1	ID_35576	1
EIF2AK1	ID_35575	1
EIF2AK1	ID_35578	1
EIF2AK1	ID_35577	1
ARTN	ID_23689	1
ARTN	ID_23692	1
ARTN	ID_23690	1
ARTN	ID_23691	1
PIP4K2B	ID_21828	1
PIP4K2B	ID_21825	1
PIP4K2B	ID_21826	1
PIP4K2B	ID_21827	1
CNPY1	ID_68305	1
CNPY1	ID_68308	1
CNPY1	ID_68307	1
CNPY1	ID_68306	1
MAK	ID_11063	1
MAK	ID_11064	1
MAK	ID_11061	1
MAK	ID_11062	1
AGMAT	ID_50023	1
AGMAT	ID_50024	1
AGMAT	ID_50026	1
AGMAT	ID_50025	1
controlguide709	ID_77150	1
CCDC85B	ID_29826	1
CCDC85B	ID_29823	1
CCDC85B	ID_29824	1
CCDC85B	ID_29825	1
ARC	ID_32184	1
ARC	ID_32183	1
ARC	ID_32185	1
ARC	ID_32186	1
NXNL1	ID_57585	1
NXNL1	ID_57586	1
NXNL1	ID_57588	1
NXNL1	ID_57587	1
controlguide771	ID_77212	1
OAT	ID_12972	1
OAT	ID_12971	1
OAT	ID_12969	1
OAT	ID_12970	1
AP3B2	ID_21313	1
AP3B2	ID_21316	1
AP3B2	ID_21315	1
AP3B2	ID_21314	1
JAG2	ID_9895	1
JAG2	ID_9894	1
JAG2	ID_9896	1
JAG2	ID_9893	1
IFT46	ID_44553	1
IFT46	ID_44554	1
IFT46	ID_44551	1
IFT46	ID_44552	1
TNS3	ID_47968	1
TNS3	ID_47967	1
TNS3	ID_47970	1
TNS3	ID_47969	1
NUDT5	ID_30334	1
NUDT5	ID_30333	1
NUDT5	ID_30331	1
NUDT5	ID_30332	1
PPM1G	ID_14556	1
PPM1G	ID_14554	1
PPM1G	ID_14555	1
PPM1G	ID_14553	1
ZBTB16	ID_20705	1
ZBTB16	ID_20707	1
ZBTB16	ID_20708	1
ZBTB16	ID_20706	1
MDC1	ID_25511	1
MDC1	ID_25509	1
MDC1	ID_25510	1
MDC1	ID_25512	1
CLDN10	ID_23766	1
CLDN10	ID_23767	1
CLDN10	ID_23768	1
CLDN10	ID_23765	1
SPAG17	ID_64668	1
SPAG17	ID_64665	1
SPAG17	ID_64666	1
SPAG17	ID_64667	1
controlguide742	ID_77183	1
SSX2IP	ID_57927	1
SSX2IP	ID_57928	1
SSX2IP	ID_57925	1
SSX2IP	ID_57926	1
CCDC182	ID_76346	1
CCDC182	ID_76347	1
CCDC182	ID_76349	1
CCDC182	ID_76348	1
CORO7	ID_49323	1
CORO7	ID_49325	1
CORO7	ID_49326	1
CORO7	ID_49324	1
PEX2	ID_15587	1
PEX2	ID_15586	1
PEX2	ID_15585	1
PEX2	ID_15588	1
RELB	ID_16000	1
RELB	ID_15998	1
RELB	ID_15997	1
RELB	ID_15999	1
CYP11A1	ID_4423	1
CYP11A1	ID_4424	1
CYP11A1	ID_4422	1
CYP11A1	ID_4421	1
C9orf92	ID_75206	1
C9orf92	ID_75207	1
C9orf92	ID_75205	1
C9orf92	ID_75204	1
ASB7	ID_60807	1
ASB7	ID_60808	1
ASB7	ID_60806	1
ASB7	ID_60805	1
SLC25A33	ID_53312	1
SLC25A33	ID_53314	1
SLC25A33	ID_53311	1
SLC25A33	ID_53313	1
MAGI3	ID_67030	1
MAGI3	ID_67031	1
MAGI3	ID_67029	1
MAGI3	ID_67032	1
SYT17	ID_39449	1
SYT17	ID_39447	1
SYT17	ID_39448	1
SYT17	ID_39450	1
SPANXN4	ID_73161	1
SPANXN4	ID_73162	1
SPANXN4	ID_73164	1
SPANXN4	ID_73163	1
STXBP2	ID_18459	1
STXBP2	ID_18457	1
STXBP2	ID_18460	1
STXBP2	ID_18458	1
PGLYRP2	ID_57162	1
PGLYRP2	ID_57163	1
PGLYRP2	ID_57161	1
PGLYRP2	ID_57164	1
TRIM74	ID_70608	1
TRIM74	ID_70606	1
TRIM74	ID_70607	1
TRIM74	ID_70605	1
UBL3	ID_14316	1
UBL3	ID_14314	1
UBL3	ID_14315	1
UBL3	ID_14313	1
RAB39A	ID_40458	1
RAB39A	ID_40455	1
RAB39A	ID_40457	1
RAB39A	ID_40456	1
FHL5	ID_24895	1
FHL5	ID_24894	1
FHL5	ID_24896	1
FHL5	ID_24893	1
C7orf76	ID_72422	1
C7orf76	ID_72423	1
C7orf76	ID_72421	1
C7orf76	ID_72424	1
CXorf56	ID_47172	1
CXorf56	ID_47171	1
CXorf56	ID_47173	1
CXorf56	ID_47174	1
PREPL	ID_25278	1
PREPL	ID_25277	1
PREPL	ID_25280	1
PREPL	ID_25279	1
SLCO1B3	ID_36167	1
SLCO1B3	ID_36168	1
SLCO1B3	ID_36169	1
SLCO1B3	ID_36170	1
C12orf76	ID_72176	1
C12orf76	ID_72173	1
C12orf76	ID_72174	1
C12orf76	ID_72175	1
PDCD1	ID_13488	1
PDCD1	ID_13487	1
PDCD1	ID_13485	1
PDCD1	ID_13486	1
CAMK4	ID_2252	1
CAMK4	ID_2251	1
CAMK4	ID_2249	1
CAMK4	ID_2250	1
SPINK9	ID_73797	1
SPINK9	ID_73794	1
SPINK9	ID_73795	1
SPINK9	ID_73796	1
PDCD2L	ID_53426	1
PDCD2L	ID_53425	1
PDCD2L	ID_53423	1
PDCD2L	ID_53424	1
CXCL6	ID_17042	1
CXCL6	ID_17043	1
CXCL6	ID_17041	1
CXCL6	ID_17044	1
BTLA	ID_62573	1
BTLA	ID_62575	1
BTLA	ID_62576	1
BTLA	ID_62574	1
ZBTB22	ID_24387	1
ZBTB22	ID_24386	1
ZBTB22	ID_24385	1
ZBTB22	ID_24388	1
FBXO24	ID_34873	1
FBXO24	ID_34874	1
FBXO24	ID_34871	1
FBXO24	ID_34872	1
ATG12	ID_23996	1
ATG12	ID_23993	1
ATG12	ID_23995	1
ATG12	ID_23994	1
UST	ID_26970	1
UST	ID_26971	1
UST	ID_26972	1
UST	ID_26969	1
ENTHD2	ID_61629	1
ENTHD2	ID_61630	1
ENTHD2	ID_61632	1
ENTHD2	ID_61631	1
UTP14C	ID_25747	1
UTP14C	ID_25746	1
UTP14C	ID_25745	1
UTP14C	ID_25748	1
ALDOB	ID_646	1
ALDOB	ID_645	1
ALDOB	ID_647	1
ALDOB	ID_648	1
KCNJ1	ID_10028	1
KCNJ1	ID_10025	1
KCNJ1	ID_10026	1
KCNJ1	ID_10027	1
CST9L	ID_59607	1
CST9L	ID_59605	1
CST9L	ID_59608	1
CST9L	ID_59606	1
GSTO2	ID_58127	1
GSTO2	ID_58125	1
GSTO2	ID_58128	1
GSTO2	ID_58126	1
C3orf80	ID_72352	1
C3orf80	ID_72351	1
C3orf80	ID_72349	1
C3orf80	ID_72350	1
RIT1	ID_16159	1
RIT1	ID_16160	1
RIT1	ID_16158	1
RIT1	ID_16157	1
SERP1	ID_35809	1
SERP1	ID_35807	1
SERP1	ID_35808	1
SERP1	ID_35810	1
RNASE7	ID_53957	1
RNASE7	ID_53958	1
RNASE7	ID_53956	1
RNASE7	ID_53955	1
ARL13B	ID_64780	1
ARL13B	ID_64778	1
ARL13B	ID_64777	1
ARL13B	ID_64779	1
CHST15	ID_38597	1
CHST15	ID_38596	1
CHST15	ID_38598	1
CHST15	ID_38595	1
PIH1D2	ID_58250	1
PIH1D2	ID_58249	1
PIH1D2	ID_58251	1
PIH1D2	ID_58252	1
ATXN10	ID_33784	1
ATXN10	ID_33785	1
ATXN10	ID_33783	1
ATXN10	ID_33786	1
PCDH17	ID_35893	1
PCDH17	ID_35892	1
PCDH17	ID_35894	1
PCDH17	ID_35891	1
PPAPDC1B	ID_53705	1
PPAPDC1B	ID_53706	1
PPAPDC1B	ID_53704	1
PPAPDC1B	ID_53703	1
KMT2C	ID_46627	1
KMT2C	ID_46628	1
KMT2C	ID_46630	1
KMT2C	ID_46629	1
OXT	ID_13168	1
OXT	ID_13166	1
OXT	ID_13165	1
OXT	ID_13167	1
QSER1	ID_50085	1
QSER1	ID_50084	1
QSER1	ID_50083	1
QSER1	ID_50086	1
TBC1D21	ID_63441	1
TBC1D21	ID_63443	1
TBC1D21	ID_63444	1
TBC1D21	ID_63442	1
ZNF134	ID_20671	1
ZNF134	ID_20672	1
ZNF134	ID_20669	1
ZNF134	ID_20670	1
CXCL1	ID_7818	1
CXCL1	ID_7819	1
CXCL1	ID_7820	1
CXCL1	ID_7817	1
OTUD7B	ID_44713	1
OTUD7B	ID_44714	1
OTUD7B	ID_44712	1
OTUD7B	ID_44711	1
DEPDC1	ID_42880	1
DEPDC1	ID_42881	1
DEPDC1	ID_42879	1
DEPDC1	ID_42882	1
FAM92B	ID_68854	1
FAM92B	ID_68856	1
FAM92B	ID_68853	1
FAM92B	ID_68855	1
IGF2BP2	ID_28781	1
IGF2BP2	ID_28780	1
IGF2BP2	ID_28779	1
IGF2BP2	ID_28782	1
HSD3B1	ID_8870	1
HSD3B1	ID_8871	1
HSD3B1	ID_8872	1
HSD3B1	ID_8869	1
CTAGE4	ID_75164	1
CTAGE4	ID_75167	1
CTAGE4	ID_75166	1
CTAGE4	ID_75165	1
CASR	ID_2378	1
CASR	ID_2377	1
CASR	ID_2379	1
CASR	ID_2380	1
OR10H2	ID_35159	1
OR10H2	ID_35161	1
OR10H2	ID_35160	1
OR10H2	ID_35162	1
FAM46C	ID_40781	1
FAM46C	ID_40782	1
FAM46C	ID_40779	1
FAM46C	ID_40780	1
CRYBG3	ID_59957	1
CRYBG3	ID_59960	1
CRYBG3	ID_59959	1
CRYBG3	ID_59958	1
EIF3J	ID_22631	1
EIF3J	ID_22632	1
EIF3J	ID_22630	1
EIF3J	ID_22629	1
KLC3	ID_61837	1
KLC3	ID_61840	1
KLC3	ID_61838	1
KLC3	ID_61839	1
C17orf53	ID_48651	1
C17orf53	ID_48652	1
C17orf53	ID_48653	1
C17orf53	ID_48654	1
MAPRE3	ID_31245	1
MAPRE3	ID_31246	1
MAPRE3	ID_31244	1
MAPRE3	ID_31243	1
NLRP10	ID_68701	1
NLRP10	ID_68704	1
NLRP10	ID_68703	1
NLRP10	ID_68702	1
TBPL1	ID_25083	1
TBPL1	ID_25081	1
TBPL1	ID_25082	1
TBPL1	ID_25084	1
BARD1	ID_1589	1
BARD1	ID_1592	1
BARD1	ID_1590	1
BARD1	ID_1591	1
FTCD	ID_29292	1
FTCD	ID_29293	1
FTCD	ID_29291	1
FTCD	ID_29294	1
UBQLN4	ID_44483	1
UBQLN4	ID_44486	1
UBQLN4	ID_44485	1
UBQLN4	ID_44484	1
CDY1B	ID_66284	1
CDY1B	ID_66282	1
CDY1B	ID_66281	1
CDY1B	ID_66283	1
YAP1	ID_28007	1
YAP1	ID_28005	1
YAP1	ID_28008	1
YAP1	ID_28006	1
ANKRD13C	ID_51729	1
ANKRD13C	ID_51727	1
ANKRD13C	ID_51728	1
ANKRD13C	ID_51730	1
HFE2	ID_62059	1
HFE2	ID_62057	1
HFE2	ID_62060	1
HFE2	ID_62058	1
GBP3	ID_6949	1
GBP3	ID_6951	1
GBP3	ID_6950	1
GBP3	ID_6952	1
SERPINI1	ID_13922	1
SERPINI1	ID_13924	1
SERPINI1	ID_13923	1
SERPINI1	ID_13921	1
DEFB103A	ID_72774	1
DEFB103A	ID_72775	1
DEFB103A	ID_72776	1
DEFB103A	ID_72773	1
PRSS23	ID_30112	1
PRSS23	ID_30114	1
PRSS23	ID_30113	1
PRSS23	ID_30111	1
SP2	ID_18014	1
SP2	ID_18015	1
SP2	ID_18016	1
SP2	ID_18013	1
MYLK3	ID_56016	1
MYLK3	ID_56015	1
MYLK3	ID_56014	1
MYLK3	ID_56013	1
controlguide284	ID_76725	1
ZNF597	ID_61589	1
ZNF597	ID_61591	1
ZNF597	ID_61592	1
ZNF597	ID_61590	1
HMOX1	ID_8523	1
HMOX1	ID_8524	1
HMOX1	ID_8522	1
HMOX1	ID_8521	1
FAM150B	ID_68016	1
FAM150B	ID_68015	1
FAM150B	ID_68013	1
FAM150B	ID_68014	1
SLC4A8	ID_25015	1
SLC4A8	ID_25016	1
