Name,Smiles,Unaligned Pharm. Score,rmsd,Binding Affinity Score,Pharm. Score
ZINC55039390,O(c1cc(ccc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)CCOC,85.67,1.0704007,-17.49,105.55
ZINC09185435,O(c1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5)C,96.31,0.9362793,-18.78,96.37
ZINC02404424,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)Cc5ccccc5)C,86.2,0.9361977,-28.17,96.37
ZINC05307450,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)COC)C,96.31,0.93619794,-18.9,96.37
ZINC09158125,Clc1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,0.9362794,-27.54,96.08
ZINC09158125,Clc1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,0.93627954,-29.18,96.08
ZINC02367379,Clc1ccc(cc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,0.9362792,-26.1,96.08
ZINC02423876,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)C=Cc5ccc(OC)cc5)C,96.31,0.9362792,-22.26,96.08
ZINC02423876,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)C=Cc5ccc(OC)cc5)C,96.31,0.93619764,-22.95,96.08
ZINC05562076,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CCC)C(c3ccc(OC)cc3)C4)C,86.19,0.93627983,-17.33,96.08
ZINC05307450,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)COC)C,96.31,0.9362798,-13.09,96.08
ZINC13127419,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)COC)C(c3ccc(OC)cc3)C4)C,96.3,0.9362799,-12.42,96.07
ZINC13127419,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)COC)C(c3ccc(OC)cc3)C4)C,96.3,0.9362798,-18.99,96.07
ZINC05576666,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CC)C(c3ccc(OC)cc3)C4)C,96.3,0.93619466,-13.66,96.07
ZINC05576666,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CC)C(c3ccc(OC)cc3)C4)C,96.3,0.9362791,-13.64,96.07
ZINC02408550,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)C)C(c3ccc(OC)cc3)C4)C,96.3,0.9361947,-11.13,96.07
