Name,Smiles,Unaligned Pharm. Score,CNNaffinity,CNNaffinity_variance,rmsd,Binding Affinity Score,CNNscore,CNN_VS,Pharm. Score,minimizedAffinity
ZINC55039390,O(c1cc(ccc1)C=C(c2nc(nc(n2)N)Nc3ccccc3)C#N)CCOC,85.67,7.2108507,0.123663284,1.0704007,-17.49,0.95762867,6.9053173,105.55,-8.10151
ZINC09185435,O(c1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5)C,96.31,6.8222604,0.5588956,0.9362793,-18.78,0.4236874,2.8905058,96.37,-3.89504
ZINC02404424,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)Cc5ccccc5)C,86.2,6.472472,0.5467957,0.9361977,-28.17,0.31436452,2.0347157,96.37,-9.54092
ZINC05307450,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)COC)C,96.31,7.031502,0.038017847,0.93619794,-18.9,0.92652637,6.5148716,96.37,-8.47869
ZINC09158125,Clc1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,5.6953697,1.0209453,0.9362794,-27.54,0.34261638,1.951327,96.08,-4.25239
ZINC09158125,Clc1c(cccc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,6.282733,1.9172618,0.93627954,-29.18,0.25433153,1.597897,96.08,1.12173
ZINC02367379,Clc1ccc(cc1)C=CC(=O)Nc2nn4c(n2)NC(c3ccccc3)CC4c5ccc(OC)cc5,96.31,5.761519,1.833432,0.9362792,-26.1,0.51590246,2.9723818,96.08,-3.01542
ZINC02423876,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)C=Cc5ccc(OC)cc5)C,96.31,6.8692703,0.13190803,0.9362792,-22.26,0.61407876,4.218273,96.08,-5.27719
ZINC02423876,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)C=Cc5ccc(OC)cc5)C,96.31,6.9576735,0.17724457,0.93619764,-22.95,0.6166087,4.290162,96.08,-5.43295
ZINC05562076,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CCC)C(c3ccc(OC)cc3)C4)C,86.19,7.350146,0.05829518,0.93627983,-17.33,0.9641944,7.0869694,96.08,-8.4331
ZINC05307450,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccccc3)C4)NC(=O)COC)C,96.31,7.024791,0.026923468,0.9362798,-13.09,0.90037143,6.324921,96.08,-8.44781
ZINC13127419,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)COC)C(c3ccc(OC)cc3)C4)C,96.3,6.9581285,0.09171618,0.9362799,-12.42,0.7620078,5.302148,96.07,-8.63876
ZINC13127419,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)COC)C(c3ccc(OC)cc3)C4)C,96.3,7.3027215,0.05149994,0.9362798,-18.99,0.96128917,7.020027,96.07,-8.6958
ZINC05576666,O(c1ccc(cc1)C4Nc2n(nc(n2)NC(=O)CC)C(c3ccc(OC)cc3)C4)C,96.3,7.389266,0.04013176,0.93619466,-13.66,0.97853994,7.230692,96.07,-8.81569
