Name,Smiles,Unaligned Pharm. Score,CNNaffinity_variance,CNNaffinity,rmsd,Unaligned Pharm. Score (w/o EVS),CNN_VS,CNNscore,minimizedAffinity,Pharm. Score
ZINC13131776,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)CC,46.21,0.049679678,7.016397,0.9362792,46.21,6.746731,0.96156627,-9.04055,56.4
ZINC13131298,Clc1c(ccc(Cl)c1)C4Nc2n(nc(n2)N)C(c3cc(OC)c(OC)cc3)C4,36.42,0.0970635,7.332368,0.9362813,36.42,6.877902,0.9380192,-9.06796,36.13
ZINC06901730,O=C(c3cc2n1c(nnc1C)c(nc2cc3)NC4CCCCCCC4)c5ccccc5,66.03,0.04280842,7.615229,0.8850234,66.03,7.42726,0.97531664,-10.26856,55.75
ZINC02919373,O=[N+](O)c1cc(ccc1)C4n2ncnc2NC(c3ccc(cc3)C(C)C)C4,46.75,0.0794755,7.0567846,1.0747387,46.75,6.383247,0.9045546,-9.00245,55.81
ZINC02951511,s1c(ncc1)NC(=O)c3c(oc2c(cc([N+](=O)O)cc2)c3)=Nc4ccc(F)cc4,45.99,0.034060698,7.115883,1.0892092,45.99,6.1829834,0.868899,-9.07727,66.0
ZINC06901595,O=C(c3cc2n1c(nnc1)c(nc2cc3)NC4CCCC4)c5ccccc5,46.3,0.13655679,7.134024,1.0900346,46.3,6.757628,0.9472393,-9.35022,55.76
ZINC06901736,O=C(c3cc2n1c(nnc1C)c(nc2cc3)NCC(c4ccccc4)C)c5ccccc5,45.66,0.20402491,7.1022463,1.2095262,45.66,6.4526553,0.90853727,-9.30068,75.46
ZINC09728763,s3c(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nnc3NCc4ccccc4,57.05,0.20783861,7.220248,1.1008482,57.05,6.719482,0.93064415,-9.07258,35.76
ZINC13131981,Clc1c(Cl)ccc(c1)C4Nc2n(nc(n2)N)C(c3ccc(OC)cc3)C4,36.51,0.07275112,7.141595,0.93648016,36.51,6.327926,0.88606626,-9.01347,65.89
ZINC19124027,Fc1cc(ccc1)CNc3nc(c(c2onc(c2)C)cn3)c5cnc(N4CCOCC4)cc5,45.98,0.20498681,7.329798,1.1010164,45.98,5.100797,0.6958987,-9.37241,55.09
ZINC20939758,O=C(c3cc2n1c(nnc1C)c(nc2cc3)NCC4N(CCC4)CC)c5ccccc5,65.72,0.049468167,7.5361757,0.9593973,65.72,7.356089,0.9761037,-9.05501,67.66
ZINC20939765,O=C(c3cc2n1c(nnc1C)c(nc2cc3)NCc4ccncc4)c5ccccc5,45.6,0.21951051,7.1977205,1.0711185,45.6,6.4903555,0.90172374,-9.25157,65.83
ZINC32540567,O=C(N(C)C)c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3,46.39,0.059763275,7.0821176,1.0769471,46.39,6.9034276,0.9747689,-9.36121,46.58
ZINC32541042,O(C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,56.96,0.05302968,7.000779,0.9842919,56.96,6.8860126,0.9836066,-9.01175,66.25
ZINC72440415,Clc4c(Nc1[nH]c(=O)c2c(n1)nccc2c3ccc([N+](=O)O)cc3)cccc4,35.1,0.16677585,7.095172,0.9511579,35.1,6.107127,0.86074406,-9.03183,66.28
ZINC23432014,Fc1c(c(F)ccc1)CNc4n2ncnc2nc(c3ccc(OC)cc3)c4,66.18,0.06674527,7.3615365,0.8850626,66.18,7.222314,0.98108786,-9.38183,65.42
ZINC06083088,O=[N+](O)c1c(ccc(c1)C3N=C4N=NNN4C(c2ccc(cc2)CC)C=3)C,35.74,0.15213487,7.090473,1.0606241,35.74,6.380227,0.89983094,-9.42674,55.95
ZINC02472318,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(OC)cc3)C4)N)Cc5ccccc5,36.55,0.102147914,7.1368628,0.93627924,36.55,6.3843946,0.894566,-9.4668,56.98
ZINC02472304,O(c1ccc(cc1)C4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)Cc5ccccc5,46.29,0.10861808,7.3648705,0.9362791,46.29,6.7159863,0.9118947,-9.51223,45.86
ZINC09561371,O1c2c(OC1)ccc(c2)CNc4nc5c(n3c4nnc3C)cc(cc5)C(=O)c6ccccc6,65.55,0.07484428,7.138138,1.0702447,65.55,6.3879347,0.8949021,-9.51949,66.12
ZINC01084111,S=C(Nc2nc(c1c(O)cccc1)cc(n2)c3ccc(OC)cc3)N,35.09,0.059505872,7.0196714,0.99914956,35.09,6.730147,0.95875525,-9.54224,45.81
ZINC02638281,Clc1ccc(cc1)C(=O)c3sc2n(c(=O)[nH]c(=O)c2c3N)c4ccc(cc4)C(=O)C,45.61,0.14179042,7.281266,0.9551547,45.61,7.002028,0.9616498,-9.54872,76.25
ZINC01130991,Clc1c(cccc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,46.27,0.11696929,7.4035506,0.93716925,46.27,6.61423,0.89338624,-9.63541,36.04
ZINC02472295,Fc1ccc(cc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,36.59,0.12536687,7.0463257,0.93646747,36.59,6.157842,0.8739082,-9.6607,56.98
ZINC03642489,Brc1ccc(cc1)C5Nc2n(nc(n2)N)C(c4ccc(OCc3ccccc3)cc4)C5,36.58,0.11704178,7.107891,0.93638563,36.58,6.20669,0.87321115,-9.69842,46.31
ZINC02472298,O(c1ccc(cc1)C4n2nc(nc2NC(c3ccc(cc3)C)C4)N)Cc5ccccc5,36.59,0.10922079,7.097973,0.9362796,36.59,6.4254746,0.9052549,-9.72888,46.69
