SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
O(c1ccc(cc1)[C@H]4n2nc(nc2NC(c3cc(OC)ccc3)C4)N)CC,ZINC13131776,OK,365.4370000000002,3.413900000000001,2,7,87.22,5.0
Clc1c(ccc(Cl)c1)[C@H]3C[C@H](n2nc(nc2N3)N)c4cc(OC)c(OC)cc4,ZINC13131298,OK,420.3000000000002,4.330600000000002,2,7,87.22000000000001,4.0
O=C(c3cc2n1c(nnc1C)c(nc2cc3)NC4CCCCCCC4)c5ccccc5,ZINC06901730,OK,413.5250000000003,5.341720000000005,1,6,72.18,4.0
O=N(O)c1cc(ccc1)[C@H]4n2ncnc2N[C@@H](c3ccc(cc3)C(C)C)C4,ZINC02919373,INVALID,-999.0,-999.0,-999,-999,-999.0,
s1c(ncc1)NC(=O)c3c(oc2c(cc(N(=O)O)cc2)c3)=N/c4ccc(F)cc4,ZINC02951511,INVALID,-999.0,-999.0,-999,-999,-999.0,
O=C(c3cc2n1c(nnc1)c(nc2cc3)NC4CCCC4)c5ccccc5,ZINC06901595,OK,357.41700000000014,3.863000000000002,1,6,72.18,4.0
O=C(c3cc2n1c(nnc1C)c(nc2cc3)NC[C@@H](c4ccccc4)C)c5ccccc5,ZINC06901736,OK,421.50400000000013,5.032520000000004,1,6,72.18,6.0
s3c(SCc1nc(nc(n1)N)Nc2c(cccc2)C)nnc3NCc4ccccc4,ZINC09728763,OK,436.57000000000016,4.261720000000002,3,10,114.53,8.0
Clc1c(Cl)ccc(c1)C3Nc2n(nc(n2)N)[C@@H](C3)c4ccc(OC)cc4,ZINC13131981,OK,390.27400000000017,4.322000000000002,2,6,77.99000000000001,3.0
Fc1cc(ccc1)CNc3nc(c(c2onc(c2)C)cn3)c5cnc(N4CCOCC4)cc5,ZINC19124027,OK,446.4860000000002,4.089820000000003,1,8,89.2,6.0
O=C(c3cc2n1c(nnc1C)c(nc2cc3)NC[C@@H]4N(CCC4)CC)c5ccccc5,ZINC20939758,OK,414.51300000000026,3.7131200000000026,1,7,75.42,6.0
O=C(c3cc2n1c(nnc1C)c(nc2cc3)NCc4ccncc4)c5ccccc5,ZINC20939765,OK,394.4380000000001,3.8240200000000026,1,7,85.07000000000001,5.0
