SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
O(c1cc(ccc1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)CCOC,ZINC55039390,OK,388.43100000000015,3.286780000000001,2,8,118.97000000000001,8.0
O(c1c(cccc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5)C,ZINC09185435,OK,481.5560000000002,5.093500000000004,2,7,90.3,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)Cc5ccccc5)C,ZINC02404424,OK,439.51900000000023,4.614200000000003,2,6,81.07,6.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)COC)C,ZINC05307450,OK,393.44700000000023,3.017900000000001,2,7,90.3,6.0
Clc1c(cccc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC09158125,OK,485.9750000000002,5.738300000000004,2,6,81.07000000000001,6.0
Clc1c(cccc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC09158125,OK,485.9750000000002,5.738300000000004,2,6,81.07000000000001,6.0
Clc1ccc(cc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC02367379,OK,485.9750000000002,5.738300000000004,2,6,81.07000000000001,6.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)\C=C\c5ccc(OC)cc5)C,ZINC02423876,OK,481.55600000000027,5.093500000000003,2,7,90.3,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)\C=C\c5ccc(OC)cc5)C,ZINC02423876,OK,481.55600000000027,5.093500000000003,2,7,90.3,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)CCC)C,ZINC05562076,OK,421.50100000000026,4.180200000000003,2,7,90.30000000000001,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccccc3)C4)NC(=O)COC)C,ZINC05307450,OK,393.44700000000023,3.017900000000001,2,7,90.3,6.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)COC)C,ZINC13127419,OK,423.47300000000024,3.0265000000000013,2,8,99.53000000000002,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)COC)C,ZINC13127419,OK,423.47300000000024,3.0265000000000013,2,8,99.53000000000002,7.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)CC)C,ZINC05576666,OK,407.4740000000002,3.7901000000000016,2,7,90.30000000000001,6.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)CC)C,ZINC05576666,OK,407.4740000000002,3.7901000000000016,2,7,90.30000000000001,6.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)C)C,ZINC02408550,OK,393.4470000000002,3.4000000000000012,2,7,90.30000000000001,5.0
o1c(ccc1)C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC13127314,OK,415.4530000000002,4.278300000000002,2,7,94.21000000000001,5.0
Clc1ccc(cc1)[C@@H]5Nc2n(nc(n2)NC(=O)c3occc3)[C@H](c4ccc(OC)cc4)C5,ZINC13127183,OK,449.8980000000002,4.931700000000002,2,7,94.21000000000001,5.0
Clc1c(cccc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC09158125,OK,485.9750000000002,5.738300000000004,2,6,81.07000000000001,6.0
Fc1ccc(cc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC02405532,OK,469.5200000000002,5.224000000000004,2,6,81.07000000000001,6.0
O=C(c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C,ZINC32581032,OK,319.36800000000005,3.375420000000002,2,6,93.79,4.0
[nH]2c1nc(NCCN(C)C)cc(c1cc2)c4cc3c(cnc(N)c3)cc4,ZINC72143513,OK,346.43800000000005,3.333800000000001,3,5,82.86,5.0
O(c1ccc(cc1)[C@H]4n2nc(nc2N[C@@H](c3ccc(OC)cc3)C4)NC(=O)Cc5ccc(OC)cc5)C,ZINC02431235,OK,499.5710000000003,4.631400000000004,2,8,99.53000000000002,8.0
O(c1ccc(cc1)[C@@H]4n2nc(nc2N[C@H](c3ccc(OC)cc3)C4)NC(=O)COC)C,ZINC13127422,OK,423.47300000000024,3.0265000000000013,2,8,99.53000000000002,7.0
