id,smiles
70001,Brc1cc(CNC(=O)C2=CNC(=O)C=C2)ccc1
70002,O=C(NCc1cc(Cn2c(C)ncc2)ccc1)c1cnc(C)cc1
70003,S=C1S/C(=C\[C@H]2[C@@H](C)Nc3c2cccc3)/C(=O)[N-]1
70004,FC(F)(F)c1cc(NC(=O)CN2[C@](O)(C)C(C)(C)OC2=O)ccc1
70005,S=C1N(c2cc(O)ccc2)C(=O)/C(=C/c2sccc2)/S1
70006,O[C@H](C#CC12CC3CC(C1)CC(C2)C3)c1sccc1
70007,S=C1N(C)C(=O)/C(=C\C=C\c2ccccc2)/S1
70008,O=C(Cn1c2c(c(C#N)c1)cccc2)N1[C@H](C)Cc2c1cccc2
70009,Clc1c(C(F)(F)F)cc(NCCN2C(=O)NCC2=O)cc1
70010,Fc1c(C)cc(CNC(=O)c2[nH]cc(C(=O)C)c2)cc1
70011,S=C(NC(=O)c1occc1)Nc1cc(C(F)(F)F)ccc1
70012,O=C(NCc1cc(Cn2cncc2)ccc1)c1[nH]cc(-c2nc(C)sc2)c1
70013,O=C(Nc1cc(NC(=O)C)ccc1)Cn1c2c(c(C#N)c1)cccc2
70014,Clc1c(Cl)ccc(NC(=O)CSc2n[nH]nc2)c1
70015,S=C1N(C)C(=O)/C(=C/c2ccc(NC(=O)C)cc2)/S1
70016,Clc1c(CNC(=O)CN2c3c(S(=O)(=O)N=C2)cccc3)cccc1
70017,Clc1c([C@@H](O)C)ccc(F)c1
70018,Brc1cc([C@H](O)CC)ccc1
70019,Clc1cc2N(CNc3cc(C(F)(F)F)ccc3)C(=S)Oc2cc1
70020,Brc1cc([C@H](O)c2cc(F)ccc2)ccc1
70021,FC(F)(F)c1cc(NC(=O)Nc2c(C(=O)N)ccs2)ccc1
70022,Clc1cc(CS(=O)(=O)c2c3c(n(CC(=O)NC[C@H]4OCCC4)c2)cccc3)ccc1
70023,O=C(Nc1c(OC)ccc(C(=O)N)c1)Cn1c2c(c(C#N)c1)cccc2
70024,S=C(NCc1sccc1)Nc1cc(C(F)(F)F)ccc1
70025,O=C1NC2=C(C(C)=NNC=C2)C=C1
70026,Clc1cc([C@H](O)CC)ccc1
