"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"5",5,3.6,1.4,0.2,"setosa"
"9",4.4,2.9,1.4,0.2,"setosa"
"14",4.3,3,1.1,0.1,"setosa"
"19",5.7,3.8,1.7,0.3,"setosa"
"21",5.4,3.4,1.7,0.2,"setosa"
"25",4.8,3.4,1.9,0.2,"setosa"
"32",5.4,3.4,1.5,0.4,"setosa"
"33",5.2,4.1,1.5,0.1,"setosa"
"41",5,3.5,1.3,0.3,"setosa"
"45",5.1,3.8,1.9,0.4,"setosa"
"52",6.4,3.2,4.5,1.5,"versicolor"
"53",6.9,3.1,4.9,1.5,"versicolor"
"57",6.3,3.3,4.7,1.6,"versicolor"
"59",6.6,2.9,4.6,1.3,"versicolor"
"76",6.6,3,4.4,1.4,"versicolor"
"80",5.7,2.6,3.5,1,"versicolor"
"83",5.8,2.7,3.9,1.2,"versicolor"
"90",5.5,2.5,4,1.3,"versicolor"
"92",6.1,3,4.6,1.4,"versicolor"
"99",5.1,2.5,3,1.1,"versicolor"
"104",6.3,2.9,5.6,1.8,"virginica"
"105",6.5,3,5.8,2.2,"virginica"
"109",6.7,2.5,5.8,1.8,"virginica"
"110",7.2,3.6,6.1,2.5,"virginica"
"117",6.5,3,5.5,1.8,"virginica"
"126",7.2,3.2,6,1.8,"virginica"
"132",7.9,3.8,6.4,2,"virginica"
"134",6.3,2.8,5.1,1.5,"virginica"
"144",6.8,3.2,5.9,2.3,"virginica"
"147",6.3,2.5,5,1.9,"virginica"
