chr start end state median
6 1 57310001 4 0.0831763337641321
6 57310001 57680001 3 -0.146329934241758
6 57680001 58250001 2 -0.364764413995354
6 58250001 58870001 4 -0.00865548458781742
6 58870001 71180001 2 -0.396831247625319
6 71180001 72040001 3 -0.15728201552128
6 72040001 77130001 2 -0.391576046590098
6 77130001 80060001 3 -0.150318033163236
6 80060001 86280001 2 -0.385636445222165
6 86280001 103840001 4 0.122170348410516
6 103840001 109200001 6 0.795133380667991
6 109200001 115500001 4 0.124886235575933
6 115500001 116640001 6 0.779041775516174
6 116640001 119410001 4 0.1158873335089
6 119410001 121770001 6 0.750261710654931
6 121770001 133470001 5 0.326678421110112
6 133470001 133670001 3 -0.0951435409165226
6 133670001 140470001 5 0.335157206902222
6 140470001 170900001 2 -0.373558341491609
